
==============================================================================================================
                                BAI 10 - SELLER RANKING BY REVENUE AND ORDERS                                 
==============================================================================================================
Rank        Seller_ID                   Total_Revenue   Total_Orders  Total_Items_Sold  Avg_Revenue_Per_Item
       534  dbd66278cbfe1aa1000f90a...         6472.77            85                99                 65.38
       535  0d85bbda9889ce1f7e63778...          6469.7            51                58                111.55
       536  23613d49c3ac2bd302259e5...         6460.76            70                80                 80.76
       537  7d76b645482be4a332374e8...         6431.54           176               187                 34.39
       538  d6b664fa0667064c6d76394...         6404.34             6                 6               1067.39
       539  02d35243ea2e497335cd0f0...         6399.95            14                16                 400.0
       540  52ac6f920b7280e4c6d30dd...         6383.89             6                 7                911.98
       541  fc906263ca5083d09dce42f...         6383.28           114               119                 53.64
       542  709e16e2b25c7474d980076...         6378.86            60                80                 79.74
       543  e62b2d6ac10570a035a30ba...         6375.47            62                71                  89.8
       544  1336efc61c316ddf92c899e...         6355.29            74                85                 74.77
       545  04aa0a1c5ce6b222003403a...         6339.51            11                17                372.91
       546  f84fa566034f5e8e880a07e...          6326.7            91               102                 62.03
       547  817245bcc3badd82bbd222e...         6303.08            29                45                140.07
       548  9674754b5a0cb32b638cec0...         6284.83            86                97                 64.79
       549  83deb69e889cf80f82be1dc...         6276.65            40                42                149.44
       550  afe0067131b73e40875c9b6...         6255.85            46                46                 136.0
       551  b39d7fe263ef469605dbb32...         6255.77            44                49                127.67
       552  06579cb253ecd5a3a12a9e6...         6226.61            62                72                 86.48
       553  23c38debaffe4a25a30fdbd...         6216.56            41                46                135.14
       554  abcd2cb37d46c2c8fb1bf07...         6200.62            45                52                119.24
       555  7e3f87d16fb353f408d467e...          6193.7            92                94                 65.89
       556  575df70bde3f9f2b30bf8d2...         6163.42            27                34                181.28
       557  1bb2bdb95f4841f1bba2c0d...         6149.27            81                85                 72.34
       558  0cbcee27c791afa0cdcb085...         6141.31            39                41                149.79
       559  d566c37fa119d5e66c4e905...         6124.92            65                73                  83.9
       560  835f0f7810c76831d6c7d24...         6094.03            44                50                121.88
       561  d66c305afaec317ebee5520...          6085.7            41                47                129.48
       562  f680f85bee2d253556ac91b...         6077.34            45                54                112.54
       563  cc3d14116804f7209f3884f...         6060.59            27                30                202.02
       564  8bb48dc19fccaa8613b6229...         6048.12            82                95                 63.66
       565  e067ad2c1c0b48758eb1b52...         6047.91            54                61                 99.15
       566  f67efa3f0b6761102a7f8c6...         6030.17            31                32                188.44
       567  0176f73cc1195f367f7b32d...         6020.11            38                39                154.36
       568  c35affa65afd250151285c5...         5993.92             9                 9                665.99
       569  9add47bf45ce8e8c7db6b9c...         5987.28            43                45                133.05
       570  916c9de0b5ad957346eeeb1...         5973.78            23                28                213.35
       571  f7496d659ca9fdaf323c0aa...         5932.51            26                27                219.72
       572  acce39e832338debb07b023...         5923.66            44                44                134.63
       573  8b9d6eec4a7eb7d0f9d579c...         5916.98            49                53                111.64
       574  099095b050cfe8eb1ddff53...         5909.15            17                20                295.46
       575  e06f09ec0a4aca210779cf1...         5901.41            29                31                190.37
       576  3ab971ce71839580d2ae5b4...         5899.05            36                38                155.24
       577  2ff97219cb8622eaf3cd89b...         5866.03            89                96                  61.1
       578  3c7c4a49ec3c6550809089c...          5858.3           141               160                 36.61
       579  5b179e9e8cc7ab6fd113a46...         5839.14            34                36                 162.2
       580  30a2f535bb48308f991d0b9...         5815.36            71                87                 66.84
       581  b561927807645834b59ef0d...         5807.03            85                95                 61.13
       582  bbad7e518d7af88a0897397...         5800.42            69                85                 68.24
       583  55d3daac7c404d59e51c2aa...         5790.48            21                28                 206.8
       584  d63c73efd41eb002280e7ec...         5766.59             2                 2                2883.3
       585  c4af86330efa7a262077222...         5760.96             4                 4               1440.24
       586  02ecc2a19303f05e59ce133...          5742.4            21                24                239.27
       587  45d33f715e24d15a6ccf5c1...         5742.16            59                61                 94.13
       588  f789d2c4f2c2eb38fc4373e...         5733.24            44                49                 117.0
       589  cac4c8e7b1ca6252d8f20b2...         5722.54            75                83                 68.95
       590  d20b021d3efdf267a402c40...         5715.17            90               106                 53.92
       591  1a932caad4f9d804097d7f8...         5701.45            20                30                190.05
       592  5bffbafbb22daf6d3bfc216...          5694.2            21                23                247.57
       593  822bad9bc42b51213ba522f...         5687.34            18                18                315.96
       594  582d4f8675b945722eda7c0...         5683.93            59                71                 80.06
       595  fcdd820084f17e998242797...         5665.74            16                27                209.84
       596  3f0e48d209018b466fcd3bb...          5654.8             9                10                565.48
       597  fad44952713764836814be1...         5636.88            32                32                176.15
       598  2a7dc43cecabf23403078e2...         5629.62            52                54                104.25
       599  ad420dd0c4f92f8af951ac2...          5618.4            42                46                122.14
       600  11bfa66332777660bd0640e...         5608.54            76               102                 54.99
       601  e0878efa0e0b7e5313ac0b4...         5594.91            27                29                192.93
       602  a3f0b55de503387383c7b1d...         5577.74            24                26                214.53
       603  cc5a78bbad32776dc4e3af2...         5573.35            33                38                146.67
       604  ef990a83bbea832f36ebe81...         5557.24            43                44                 126.3
       605  822166ed1e47908f7cfb499...         5535.95            69               108                 51.26
       606  4bf2f4ee540798a61f9636d...         5501.01            29                30                183.37
       607  d379f449f2a3b271bc01c07...          5499.8            28                29                189.65
       608  d673a59aac7a70d8b01e690...         5499.56            79                84                 65.47
       609  834f8533b2ecb6598dd004f...         5496.31            43                47                116.94
       610  951e8cef368f09bb3f3d03c...         5493.09            64                71                 77.37
       611  e9c6969d40e6a3d2d0f9001...         5481.98            10                10                 548.2
       612  4d0041cdbe51b4617d95c70...         5465.49             8                 8                683.19
       613  891071be6ba827b591264c9...         5454.35            92                98                 55.66
       614  0ef83d7d83ed97cd2a0049a...         5447.81            48                55                 99.05
       615  42b729f859728f507949912...         5434.07           104               132                 41.17
       616  c68fb906c8f4b4b946d8386...         5433.61            45                48                 113.2
       617  8bd0f31cf0a614c658f6763...         5423.32            33                35                154.95
       618  db4350fd57ae30082dec7ac...         5421.64           137               146                 37.13
       619  a3dd39f583bc80bd8c5901c...         5412.16            34                37                146.27
       620  4c498c7345e89aebad65154...         5389.76            48                48                112.29
       621  45213867cefbf2cd4c6177e...         5389.16            14                14                384.94
       622  503c1de08ae81a2d86f1795...          5321.9            22                22                 241.9
       623  6860153b69cc696d5dcfe1c...         5318.23            74                84                 63.31
       624  715bbd5ba4e6b74cb0d2f29...         5315.88            62                64                 83.06
       625  beadbee30901a7f61d031b6...         5311.52            64                68                 78.11
       626  65febd49fd28ec955651299...         5301.14            35                40                132.53
       627  ce69a8021d18961dd2a4026...         5289.05            19                19                278.37
       628  c12b92bf1c350f3e6bf88d3...         5252.84            17                17                308.99
       629  c9a06ece156bb057372c687...         5229.62            14                14                373.54
       630  eed78ac17f7f795a19a7097...         5195.84            22                56                 92.78
       631  d12c926d74ceff0a90a2118...         5192.82            78                99                 52.45
       632  99002261c568a84cce14d43...         5188.33            36                36                144.12
       633  0509040ea3fe50071181bbc...          5183.1            89                98                 52.89
       634  9df5750209b83567ec144eb...          5176.3            11                11                470.57
       635  b17b679f4f5ce2e03ce6968...         5160.82            55                57                 90.54
       636  232a6014e7b10cba61c6c2b...         5133.27            33                36                142.59
       637  f0b47fbbc6dee9aafe415a6...         5132.19            68                86                 59.68
       638  6fc26fe110feebd80a433e1...         5128.06            35                72                 71.22
       639  1fe5540d7c1c37a595fefba...         5118.75            20                25                204.75
       640  822b63912576852aea9a843...         5097.07             8                 9                566.34
       641  8931a84a914b3fe9b1ddaa4...         5092.89            29                32                159.15
       642  b90e891671cffd9557f33a9...         5081.31            34                39                130.29
       643  5c030029b5916fed0986310...          5079.9             7                10                507.99
       644  8a130737016f838139d3187...         5064.32            56                62                 81.68
       645  6ec1a01e866584bb679eb9b...         5063.76            31                32                158.24
       646  bccf933e006e9b94a6184af...         5047.21            45                46                109.72
       647  31da954dc0855f2495c6310...         5032.71            29                30                167.76
       648  99a54764c341d5dc80b4a8f...         5026.26            45                67                 75.02
       649  15aac934c58d886785ac1b1...          5019.6            25                26                193.06
       650  37dd29b36c458d82f74a953...         5016.43             7                 8                627.05
       651  827f8f69dfa529c561901c4...         5003.96            91               104                 48.12
       652  0307f7565ff85b299b6e5ef...         5003.57             7                 7                 714.8
       653  8f580d36c1e9d6fbce95283...          4993.4             8                 8                624.18
       654  e81e1f9c3e762e620f3fb60...         4979.49            17                18                276.64
       655  382229d1e840115ffe3dbf5...         4966.62            46                49                101.36
       656  6b3bd31ad8fcda4b2635ec9...         4955.92            36                43                115.25
       657  fde0cc9ea29c8ccfc0a2c22...         4921.27            35                35                140.61
       658  3c03b12bab54d8b37d79d91...         4919.77            37                43                114.41
       659  1b938a7ec6ac5061a66a376...         4897.83            30                33                148.42
       660  cb41bfbcbda0aea354a834a...         4888.68            12                12                407.39
       661  c840d3fdbba0790404fdae7...         4881.93             9                14                348.71
       662  b76dba6c951ab00dc4edf0a...         4881.88           159               169                 28.89
       663  ec8879960bd2221d5c32f8e...         4881.38            36                36                135.59
       664  968268a686aa05d1f529fb0...         4880.84            12                12                406.74
       665  2addf05f476d0637864454e...         4877.64            12                12                406.47
       666  f6122bc84774df1b372bdb3...         4874.36             3                 3               1624.79
       667  c004e5ea15737026cecaee0...         4874.32             2                 2               2437.16
       668  55a5b51f93f2b70ea513f5a...         4849.38            39                41                118.28
       669  e49c26c3edfa46d227d5121...         4829.71            35                36                134.16
       670  f3da5b2ff499efb8d4a6d37...         4826.86            79                84                 57.46
       671  95f83f51203c626648c875d...         4826.51            52                67                 72.04
       672  8f119a0aee85c0c8fc53462...         4826.45            77                83                 58.15
       673  6288c69c4ce638e59925e59...         4812.48            22                22                218.75
       674  43f8c9950d11ecd03a0304a...         4807.22            41                41                117.25
       675  9803a40e82e45418ab7fb84...         4791.38            11                18                266.19
       676  2e3be8a987a30d7544dbbda...         4777.55            18                19                251.45
       677  520b493b57809f446cb0a23...         4762.87            63                73                 65.24
       678  cd6efc47efaabf134f8bdb6...         4757.16            31                32                148.66
       679  13d058e4eeac2ce8217660b...         4755.88            23                23                206.78
       680  f76a3b1349b6df1ee875d1f...         4748.98            24                24                197.87
       681  3f3486b61f45078d4f31ee5...         4726.57            40                40                118.16
       682  180c3376aff0e43dd578870...         4722.97             5                10                 472.3
       683  81f89e42267213cb94da7dd...         4721.18            46                52                 90.79
       684  13fa2a6c6b9d0f43cb588d7...         4719.44             9                10                471.94
       685  602044f2c16190c2c6e45eb...         4677.44            50                57                 82.06
       686  1eade46fba20122dc4aefb3...         4673.71            58                75                 62.32
       687  f97e2b0650c2068227e1d36...         4665.98            16                21                222.19
       688  c500367424994318b9e779f...         4658.39             9                 9                 517.6
       689  8cbac7e12637ed9cffa18c7...         4654.35            67                82                 56.76
       690  bf3c6d2a28b2b5501e6c154...         4648.15            35                43                 108.1
       691  2199e7fe213c16213bf5d6a...         4647.78            25                31                149.93
       692  6a0cbc8af2e8abd1bdfb777...         4639.42            35                35                132.55
       693  4d600e08ecbe08258c79e53...         4633.46             8                 8                579.18
       694  3f995f07c49d0d55a99d5c5...          4627.2            43                43                107.61
       695  406822777a0b9eb5c50e442...         4596.34            45                47                 97.79
       696  d5ba419e26d246a0719437c...         4581.51            34                35                 130.9
       697  681fce914360217db47784a...          4571.8            23                24                190.49
       698  271c58a1d139c45eaf33161...         4568.71            29                29                157.54
       699  8ed8ea9a57c862f2c18c2fe...         4562.97            19                19                240.16
       700  f4aba7c0bca51484c30ab7b...          4557.5           110               117                 38.95
       701  6b333a05bf188ef3e1f1662...         4554.88            12                13                350.38
       702  e883aa812c37a7413226856...         4554.46            26                29                157.05
       703  238fac594e170b59c6d228f...         4545.52            29                30                151.52
       704  3361277dc30b7cccdb0c286...          4540.9            29                42                108.12
       705  f021c962aaba8ef6eb527a9...         4533.87             5                 5                906.77
       706  1fdc574883ef3b33ad41562...         4524.27            18                18                251.35
       707  4559697a8f7e637227c2eea...         4474.27            42                42                106.53
       708  7f152321c60a266edc53af1...         4471.92            20                20                 223.6
       709  56642bcb79900e777d68e91...         4471.79            48                56                 79.85
       710  f00e21b1e91a79653163b7f...         4471.06            31                31                144.23
       711  282c7480173bb9c01dd41cc...         4466.31             5                 8                558.29
       712  02f5837340d7eb4f653d676...         4463.88            30                30                 148.8
       713  66dc1b1632bd6a3e508510c...         4449.26            37                42                105.93
       714  14d7985702e72162bbf13b6...          4441.0            37                38                116.87
       715  870d0118f7a9d85960f29ad...         4428.03            45                61                 72.59
       716  38e679b9e0064cd94c6f035...          4418.1            28                30                147.27
       717  6bb0724edf0b62fb91ac404...         4416.52            17                18                245.36
       718  1b8356dabde1d35e17cef97...         4413.61            56                61                 72.35
       719  070d165398b553f3b4b851c...         4396.75            32                39                112.74
       720  3d8fa2f5b647373c8620330...         4390.55            43                48                 91.47
       721  79ed755314cfe6df0daef2c...         4366.66            23                25                174.67
       722  edf96ef93ed595084bbcbd9...         4365.78            25                28                155.92
       723  96804ea39d96eb908e7c3af...         4365.76            38                40                109.14
       724  2745f798279e0ed033addcc...         4364.99            32                32                136.41
       725  42fa4ee7240e9b8eb457635...         4364.47            22                22                198.39
       726  3c4e0452bff7a2a78817948...         4352.52            32                36                 120.9
       727  9b1585752613ec342d03bba...         4349.04             3                 3               1449.68
       728  ed4311e67debd72b8610a53...         4342.81            25                26                167.03
       729  6481e96574816ead57975da...         4340.86            32                43                100.95
       730  8b2492b7ff4468839593faf...         4336.26            29                45                 96.36
       731  276677b5d08786d5dce7c21...         4320.64            33                47                 91.93
       732  4c18691b6037662be2df78a...         4316.51            63                67                 64.43
       733  2e13c71026e1a39ba5cc1b8...         4310.21            24                28                153.94
       734  e8f6dc8e6a1dcde89d20e39...         4308.02            36                48                 89.75
       735  23a0ffca143a15b9b5bbdb7...         4304.28            23                24                179.35
       736  8c3b533c63cca56240f94f1...         4301.77             5                 8                537.72
       737  8090490573c6c0aa343a723...         4298.03            26                26                165.31
       738  a44fb5a447105f8469bdf16...         4292.71            19                19                225.93
       739  c731d18cea9bf687ffee82a...         4272.65            24                26                164.33
       740  df560393f3a51e74553ab94...         4267.33            28                29                147.15
       741  a0415d9b25ede3c4b1e477e...         4247.98            10                10                 424.8
       742  9646c3513289980f17226a2...         4247.32            71                78                 54.45
       743  5f5b43b2bffa8656e4bc6ef...         4232.65            27                29                145.95
       744  2d2c62bef4c8ba0dd74e0e2...         4230.48            16                16                264.41
       745  994f04b3718c2bab35c2adf...         4221.21            49                57                 74.06
       746  e7d5b006eb624f130744972...         4220.42            28                63                 66.99
       747  f35b3c613c4f7b2275f4185...         4214.29             9                 9                468.25
       748  643214e62b870443ccbe55a...         4199.78            66                68                 61.76
       749  2a167ca73899c85001a837d...         4197.62             2                 3               1399.21
       750  08cdbae123ff67ca4e36d9d...         4195.46             4                 6                699.24
       751  bede56095ba33c42038fb85...         4184.77             2                 2               2092.39
       752  21e83881401b92b49fb09a1...         4182.53            14                15                278.84
       753  5d3bb11474a06bdc23fb9e8...         4178.82            31                32                130.59
       754  3bdff180c7e1f6551a643b9...         4161.86            59                61                 68.23
       755  71039d19d4303bf9054d69e...         4158.65            35                38                109.44
       756  e70053bf73d1b5863932e53...         4158.58             7                 7                594.08
       757  38874e327ce94d11390b96e...         4158.43             6                 6                693.07
       758  2d50d6282f8aa2257819a77...         4151.52            44                45                 92.26
       759  33ac3e28642ab8bda860a2f...         4151.12            34                35                 118.6
       760  594f9aaa48e5bf431f011dd...         4136.41            37                38                108.85
       761  5d9dc90a686a8fddacffab6...         4131.27            12                12                344.27
       762  d57e18d5f73c7ccb7f7339b...         4111.19            61                63                 65.26
       763  c0563dd588b775f2e37747e...         4094.68            28                28                146.24
       764  77e4abfd739aed9c46480f9...         4092.21            18                18                227.35
       765  1838dd9b8977065acf51d95...         4075.88            64                67                 60.83
       766  b1fecf4da1fa2689bccffa0...         4066.72            19                20                203.34
       767  6b90f847357d8981edd79a1...         4059.73            45                47                 86.38
       768  cfd7ddab722b902f7ac5b5f...         4058.11            12                13                312.16
       769  f0837c8d71434931d9e38e7...         4049.36            22                23                176.06
       770  a2b5b6105ea5942300631d2...         4009.34            16                16                250.58
       771  3c010235b7345c92f125d14...         4005.32            15                15                267.02
       772  7f2617c58d5d06806987308...         3983.27            22                23                173.19
       773  dd533b429f380718b70ad99...         3970.98            41                45                 88.24
       774  4da0e408c99d2fdc2126dc9...         3964.73            44                54                 73.42
       775  b1ac6ea7895bc3dd6f0f6f4...         3964.33            40                41                 96.69
       776  432c37c9dfba871172ec162...         3938.54            46                57                  69.1
       777  eb4df17aed01d918c65f0f8...         3925.46            11                11                356.86
       778  f7ccf836d21b2fb1de37564...         3910.44            70                74                 52.84
       779  f4db9b37944bcb8873e6b45...         3909.94            21                22                177.72
       780  a17f621c590ea0fab3d5d88...         3901.54            65                80                 48.77
       781  ec80e49e69745ab6c14f984...         3897.31            12                12                324.78
       782  c9aafcd0621b2207c10e32c...          3885.9            44                52                 74.73
       783  1d0997ff06b524ce9289ffd...         3873.57             3                 3               1291.19
       784  0c7533c71df861ec58ad7ff...         3863.51            61                73                 52.92
       785  960945e1a9535cbc0cd6ddd...         3861.53            28                29                133.16
       786  8ff38bc3969e67c36c48343...         3859.56             2                 8                482.45
       787  aae3bfea055532c57fb453e...         3857.17            48                50                 77.14
       788  3364a91ec4d56c98e44174d...         3853.85             6                 6                642.31
       789  3b872fd4747f01cc56206f2...         3843.11            25                27                142.34
       790  4677a5437afda5fa7140b92...          3835.7            11                11                 348.7
       791  e48b04bf1aa1ef711caebeb...         3832.73            25                25                153.31
       792  218f991754f360af9c2daa5...         3819.54            14                17                224.68
       793  f326006815956455b2859ab...         3813.18             9                30                127.11
       794  5f1dc28029d2c244352a681...         3803.46            62                78                 48.76
       795  c8b3445d737de6befde0c88...         3800.79            30                36                105.58
       796  244c2f1bff6afe1f2eaf9bf...         3794.87            23                27                140.55
       797  977f9f63dd360c2a32ece2f...         3793.85            24                25                151.75
       798  a938325a4b357fd23a6a4d5...         3791.81            24                25                151.67
       799  f2336e113377dd21c744d9c...         3762.08             4                 4                940.52
       800  54c04bdb5ec46762f8f08c7...         3757.78            18                19                197.78
       801  5bc24d989e71e93c33e50a7...         3736.53            17                17                 219.8
       802  cb3dd9ce66268c7a3ca7241...         3725.71            50                52                 71.65
       803  52562a9f449c3dc3d53f5f5...         3710.64            14                14                265.05
       804  bce6a5ecf98e99fd2a8868b...          3706.5            14                15                 247.1
       805  430315b7bb4b6e4b3c978f9...         3704.63            20                21                176.41
       806  cce6ab8d1682639fe45ab70...         3690.14            63                66                 55.91
       807  cb5df0dcb9e280b1780e9d5...         3689.21            16                19                194.17
       808  ed46f1eb4a638113deb2a11...         3686.68             4                 4                921.67
       809  5c6d4016c2a288f074fa084...         3673.17            32                35                104.95
       810  0ebd97a106433a45a4aebe5...         3661.68            31                32                114.43
       811  a6fe7de3d16f6149ffe2803...         3647.42            51                52                 70.14
       812  e89c4adbe7b1d0819dbb636...         3636.15            24                25                145.45
       813  318f287a62ab7ac10b703ac...          3634.6            52                62                 58.62
       814  2a1348e9addc1af5aaa619b...          3631.4            52                55                 66.03
       815  b8555308bfdb4ca1ed54325...         3630.03            26                28                129.64
       816  c64a2aec32cc408a8a4c6d7...         3628.17             9                 9                403.13
       817  6750d71153f00fc58829af2...          3626.5             6                 6                604.42
       818  d93919c944be9cff128f6c9...         3624.01            33                33                109.82
       819  244b04680fdbded0acf5aeb...         3616.51             3                 3                1205.5
       820  c394e193cda3b4225ff2094...         3611.44             3                12                300.95
       821  afa6714acee029b2dfdf357...         3603.58            16                17                211.98
       822  585175ec331ea177fa47199...         3602.47             1                 1               3602.47
       823  ae7ab174effdead6c241e54...         3574.06             6                 7                510.58
       824  974cf2cb8f4b7add98709c3...         3559.68            33                33                107.87
       825  20d83f3ef0e6925fd74bfd5...         3557.21            40                54                 65.87
       826  d17f467e4bf608a510c20d8...         3556.55            12                12                296.38
       827  5b51032eddd242adc84c38a...         3548.95            12                14                 253.5
       828  aeb36d67f1414f234d42a29...          3548.1             4                 4                887.02
       829  f593898ec748b7a8cb81fc0...         3541.12            20                23                153.96
       830  8d79c8a04e42d722a75097c...         3535.16            27                28                126.26
       831  bb7a14e229b1c95156719c3...         3519.45            11                11                319.95
       832  f61c63d13f7cd800549d5ac...         3501.69            26                26                134.68
       833  b335c59ab742f751a85db9c...         3480.72            33                35                 99.45
       834  1771297ac436903d1dd6b0e...         3466.43            28                36                 96.29
       835  fce62094ffe6a4009188ec4...         3452.63             4                11                313.88
       836  2156f2671501a81034d7d07...         3433.89            22                22                156.09
       837  55f7a3319d80f7fdf078b8f...         3420.45            22                22                155.48
       838  f7720c4fa8e3aba4546301a...         3418.97            60                78                 43.83
       839  1ce3ae5a399804d1a87e706...         3416.69            40                44                 77.65
       840  bd697db56ff8e7c9cd1abeb...          3415.2            22                22                155.24
       841  a1474fd46fd3430168f7ec2...         3413.52            12                14                243.82
       842  5bc55dbe2f12b6af6d83ed4...         3409.38            17                21                162.35
       843  3fd1e727ba94cfe122d165e...         3394.42            37                38                 89.33
       844  5cbbd5a299cab112b7bf238...         3385.21            36                38                 89.08
       845  49e7217cfe4e427191c378e...         3378.31            13                14                241.31
       846  d25aa0aaacb370e912f8cf6...         3373.13            17                21                160.63
       847  e99e927c81e3f51739c94fc...         3360.47            22                25                134.42
       848  5b35136197710e16ac5e7b7...         3350.29             7                 9                372.25
       849  cd06602b43d8800bd0afad5...         3335.33            44                53                 62.93
       850  31561f325664a8a7aba4c8d...         3329.36            36                38                 87.61
       851  fd386aa7bed2af3c7035c65...         3316.17            69                76                 43.63
       852  4305fe92735c8a43d154ff6...         3314.25            19                21                157.82
       853  33576ec5412fb5905d876f1...         3287.98            31                32                102.75
       854  51702dc2a3e106c76dbff72...         3287.04            13                14                234.79
       855  efcd8d2104f1a05d028af7b...         3280.19            47                51                 64.32
       856  730937bf88cb151eb2eb849...         3277.17            22                26                126.05
       857  850913d59ce317156b00f37...         3270.96            32                34                  96.2
       858  b494891378bd8f4560abe57...         3270.82            20                22                148.67
       859  ede0c03645598cdfc63ca82...         3269.87            46                50                  65.4
       860  df56d7b40d437f88407c5f7...          3251.5            22                25                130.06
       861  60562ab00b8054280520d39...         3247.09            17                17                191.01
       862  d9e8c084b68fe958861d8f2...         3231.86             9                12                269.32
       863  d93844a9c55ba7ce353388b...         3229.52            12                14                230.68
       864  3cfa1358a6caa9652787213...         3221.53             5                 5                644.31
       865  4992e76a42cb3aad7a7047e...         3218.57            57                74                 43.49
       866  4c8545742faaf58fafd5fd1...         3216.31             4                 4                804.08
       867  a369d693961cb93b61ca2cc...         3213.79            11                18                178.54
       868  6338ea67c41078a46ad99cc...         3210.39            37                44                 72.96
       869  8ab42aa58097fd4668d60cc...         3210.39            20                26                123.48
       870  ffa6adafb71b807dc13159e...         3206.98            18                18                178.17
       871  fec6275253471ace26d209b...         3195.67             9                10                319.57
       872  f44b6f775a2b390380e0e30...         3188.24            10                10                318.82
       873  1996942dc085d7773ba77a5...         3183.43            10                10                318.34
       874  be9a160a9011f627c3e121d...         3182.52             7                 7                454.65
       875  4342d4b2ba6b161468c63a7...         3163.31            20                20                158.17
       876  0885aaf116795758dfeb5f1...         3162.32            28                30                105.41
       877  612a743d294c27884fb7b80...         3162.15             2                 3               1054.05
       878  56e361f411e38dcef17cdc2...         3155.76             5                10                315.58
       879  1987cd4be10fe09ee50454f...         3135.23            14                16                195.95
       880  8f54d64f28a993550aa7943...         3133.12            15                16                195.82
       881  157c3e4b42f81ac4a44e8b1...         3131.82            23                31                101.03
       882  9906e7aa42a3c067b7c9a56...          3115.6            12                16                194.73
       883  13074f016982ff2bd6c58ce...          3111.7            14                15                207.45
       884  9c068d10aca38e85c50202e...         3108.83            17                17                182.87
       885  62c50c1af4dfdc4149d25c5...         3096.03            14                19                162.95
       886  82bd0703a4aefd6b599e5bf...         3084.84            21                24                128.54
       887  d32e3909cfb714fb2a6cb09...          3078.9            10                11                 279.9
       888  820cc752a266cdc6c1a1e61...         3078.77            15                15                205.25
       889  b1204cfda1d4948679db3cf...         3078.15             7                11                279.83
       890  78744a20ee2f80ba64f6804...         3068.85             6                 6                511.47
       891  d3dcf0604eabf0224fbd594...         3067.41             9                 9                340.82
       892  082e0bf4cb865a6533b1e8e...         3064.33            11                23                133.23
       893  b74d1c09cb380e1d03a6f85...          3053.2            31                39                 78.29
       894  ccf8813e5a7d6c84d865cd3...         3051.29            26                26                117.36
       895  f125f3a310c2e5f822d1161...         3049.29            16                22                 138.6
       896  3504c0cb71d7fa48d967e0e...         3037.31            53                53                 57.31
       897  5a93f3ab0ef4c84ed5e1b5d...         3035.39            39                44                 68.99
       898  0bb738e4d789e63e2267697...         3030.64            30                31                 97.76
       899  1d4587203296c8f4ad134dc...         3027.54            42                43                 70.41
       900  dd58ee93286b0821565574c...         3023.31             2                 2               1511.66
       901  f214d28e8d8e3ef06874849...         3021.52            54                59                 51.21
       902  606ce7768feac12c5e8bd58...         3018.86             5                 5                603.77
       903  e908c0f3646e8b60375734a...         3009.53             1                 1               3009.53
       904  b56906f7fd1696e043f1bcc...         2995.42            40                42                 71.32
       905  6f229cc508fc6915ed5c499...         2988.68            13                14                213.48
       906  5abb8ea023c77787f2c15da...          2987.2            13                13                229.78
       907  f805b96fa705ba7995a221f...         2986.87             7                 7                 426.7
       908  fe26f3ecb51a15e6d8335cd...         2971.55             7                 7                424.51
       909  052577151711aec5c744fe1...         2970.42             4                 4                742.61
       910  d3f39f05462b79a4562d358...         2968.77            34                38                 78.13
       911  47efca563408aae19bb7206...         2965.32            12                12                247.11
       912  f1b93673502375d491780bb...         2959.28             8                10                295.93
       913  cac876b37d3abcd6bd76cac...         2958.79            27                33                 89.66
       914  323ce52b5b81df2cd804b01...         2955.67            30                30                 98.52
       915  4b0fdb526525f9890eb145b...         2954.21            18                20                147.71
       916  116ccb1a1604bc88e4d234a...         2948.33            61                73                 40.39
       917  888faa8bfb0b159c37de6d8...          2945.0            19                23                128.04
       918  daeb5653dd96c1b11860f72...         2938.06            40                41                 71.66
       919  bc302730ea8cf49b5c74f57...         2930.17            11                11                266.38
       920  655220df33262c7e0c4949a...         2926.53            13                15                 195.1
       921  04aba03279157f6d4e0fe8c...         2922.33            16                16                182.65
       922  2c4c47cb51acd5ea5db5e0a...         2917.37            12                15                194.49
       923  5160d23075764e18e07c1f4...         2915.42            34                39                 74.75
       924  0725b8c0f3f906e58f70cbe...         2905.99            17                37                 78.54
       925  41ab63a91b8b264e8c87803...         2874.22            12                13                221.09
       926  491a5ada3aa1678414e9902...         2873.81             2                 2               1436.91
       927  f1c1ac3f3efc07e659c0350...         2864.78             4                14                204.63
       928  4e8dacf3d38f281ae26c3e0...         2861.11            10                15                190.74
       929  3a734b715d333a2588a3d54...         2859.16            18                24                119.13
       930  8a87611c08849ffeeccab52...         2855.12            13                14                203.94
       931  fdaaf5bfda82b7b80535610...         2848.32            10                15                189.89
       932  bb5bd94c8f59cc050072d29...         2846.64            16                17                167.45
       933  8603f0038fe0e52fedd3382...         2845.12            10                10                284.51
       934  1c40343cc5d18c2d8248ac2...         2839.42            21                22                129.06
       935  7fc87cc3e89b3d1d5cabdca...         2835.82            14                14                202.56
       936  7238a95bb63ef7e498389fb...         2835.11            15                15                189.01
       937  cea729054f157f5870bdd32...         2831.62            24                26                108.91
       938  ea6b12bf9ffe2bac34602ec...         2831.32            11                11                257.39
       939  0ed6ce5d87fd9c69eaacaeb...         2829.25            43                43                  65.8
       940  c013e57c075a06e5b5c48ee...         2828.66            42                45                 62.86
       941  ffdd9f82b9a447f6f8d4b91...         2828.66            18                20                141.43
       942  e9511df20ccd82658a30c37...          2823.1            22                30                  94.1
       943  458d868c9642f55f18f04e9...         2822.75             2                 2               1411.38
